id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
1356	what episode does goku give up against cell	165 | 180	first round	No	"[[0.9593237638473511, 0.04067619889974594], [0.9607791900634766, 0.03922080993652344]]"
1357	what episode does goku give up against cell	165 | 180	Episode #172	No	"[[0.8964786529541016, 0.10352131724357605], [0.9103582501411438, 0.08964172005653381]]"
1358	who wrote shes always a woman to me	Billy Joel | Joel	Billy Joel	Yes	"[[0.008775787428021431, 0.9912242293357849], [0.010110260918736458, 0.9898898005485535]]"
1359	who wrote shes always a woman to me	Billy Joel | Joel	Billy Joel.	Yes	"[[0.00850862916558981, 0.9914915561676025], [0.009183811955153942, 0.9908164143562317]]"
1360	rizal finished all the chapters of the novel noli me tangere in	Spanish | December 1886	December 1886	Yes	"[[0.9517106413841248, 0.04828936979174614], [0.06401468813419342, 0.9359853863716125]]"
1361	rizal finished all the chapters of the novel noli me tangere in	Spanish | December 1886	1887	No	"[[0.9489471912384033, 0.05105281621217728], [0.838954508304596, 0.16104552149772644]]"
1362	rizal finished all the chapters of the novel noli me tangere in	Spanish | December 1886	October 1887	No	"[[0.9513532519340515, 0.04864681884646416], [0.8425700068473816, 0.1574300229549408]]"
1363	when was the last year the eagles went to the superbowl	2017 | following the 2017 season	2004	No	"[[0.9477069973945618, 0.05229291692376137], [0.9397463798522949, 0.0602535605430603]]"
1364	when was the last year the eagles went to the superbowl	2017 | following the 2017 season	2017	Yes	"[[0.009990095160901546, 0.9900097846984863], [0.1564035266637802, 0.8435964584350586]]"
1365	when was the last year the eagles went to the superbowl	2017 | following the 2017 season	2018	No	"[[0.9066399335861206, 0.09335997700691223], [0.9242849349975586, 0.07571502774953842]]"
1366	when was the last year the eagles went to the superbowl	2017 | following the 2017 season	The Philadelphia Eagles last went to the Super Bowl in 2018.	No	"[[0.806040346622467, 0.19395962357521057], [0.9184741377830505, 0.08152588456869125]]"
1367	what does g stand for in ncis los angeles	Grisha	General	No	"[[0.9475812315940857, 0.05241873487830162]]"
1368	what does g stand for in ncis los angeles	Grisha	G. Callen	No	"[[0.9515034556388855, 0.048496510833501816]]"
1369	what does g stand for in ncis los angeles	Grisha	Granger	No	"[[0.9577359557151794, 0.04226399213075638]]"
1370	what does g stand for in ncis los angeles	Grisha	grisha	Yes	"[[0.00997034553438425, 0.9900296926498413]]"
1371	what does g stand for in ncis los angeles	Grisha	"G stands for Granger, the name of the character played by Eric Christian Olsen in NCIS: Los Angeles."	No	"[[0.6683865189552307, 0.3316134512424469]]"
1372	when did the movie peter pan come out	2003 | 25 December 2003	1953	No	"[[0.9512178301811218, 0.04878224804997444], [0.9436265826225281, 0.05637338384985924]]"
1373	when did the movie peter pan come out	2003 | 25 December 2003	The movie Peter Pan was released in 1953.	No	"[[0.9345929622650146, 0.06540702283382416], [0.9341404438018799, 0.06585950404405594]]"
1374	when did the movie peter pan come out	2003 | 25 December 2003	29 December 1924	No	"[[0.947310745716095, 0.05268918722867966], [0.867019772529602, 0.13298024237155914]]"
1375	when's the last time michigan won a national championship in basketball	1989	2000	No	"[[0.9492663741111755, 0.050733622163534164]]"
1376	when's the last time michigan won a national championship in basketball	1989	1989	Yes	"[[0.009464563801884651, 0.9905354380607605]]"
1377	when's the last time michigan won a national championship in basketball	1989	The last time Michigan won a national championship in basketball was in 1989.	Yes	"[[0.011409307830035686, 0.988590657711029]]"
1378	who played morticia in the addams family tv show	Carolyn Sue Jones	carolyn sue jones	Yes	"[[0.00990473572164774, 0.9900952577590942]]"
1379	who played morticia in the addams family tv show	Carolyn Sue Jones	Carolyn Jones	Yes	"[[0.36754828691482544, 0.6324516534805298]]"
1380	who played morticia in the addams family tv show	Carolyn Sue Jones	Carolyn Jones.	Yes	"[[0.3726760149002075, 0.6273239254951477]]"
1381	who commissioned the first christmas card in 1943	Sir Henry Cole	sir henry cole	Yes	"[[0.01379835419356823, 0.9862016439437866]]"
1382	who commissioned the first christmas card in 1943	Sir Henry Cole	isambard kingdom brunel	No	"[[0.9594062566757202, 0.040593672543764114]]"
1383	who commissioned the first christmas card in 1943	Sir Henry Cole	King George VI	No	"[[0.9574689269065857, 0.04253111407160759]]"
1384	who commissioned the first christmas card in 1943	Sir Henry Cole	Sir Henry Cole.	Yes	"[[0.012389235198497772, 0.9876107573509216]]"
1385	who won the mens figure skating in 2018 olympics	Shoma Uno | Javier FernÃ¡ndez | Yuzuru Hanyu	yuzuru hanyu	Yes	"[[0.9563081860542297, 0.043691765516996384], [0.951789140701294, 0.048210788518190384], [0.008710193447768688, 0.9912898540496826]]"
1386	who won the mens figure skating in 2018 olympics	Shoma Uno | Javier FernÃ¡ndez | Yuzuru Hanyu	Yuzuru Hanyu of Japan.	Yes	"[[0.9575685262680054, 0.04243147373199463], [0.9516240358352661, 0.04837588965892792], [0.011580338701605797, 0.9884195923805237]]"
1387	avatar the last airbender season 3 episode 12	The Western Air Temple	Sozin's Comet	No	"[[0.956098735332489, 0.04390120506286621]]"
1388	avatar the last airbender season 3 episode 12	The Western Air Temple	Unknown.	No	"[[0.9452256560325623, 0.05477432906627655]]"
1389	avatar the last airbender season 3 episode 12	The Western Air Temple	The Search	No	"[[0.957172155380249, 0.04282783344388008]]"
1390	avatar the last airbender season 3 episode 12	The Western Air Temple	Sozin's Comet: Part 4 - Avatar Aang	No	"[[0.909599781036377, 0.09040024876594543]]"
1391	avatar the last airbender season 3 episode 12	The Western Air Temple	21	No	"[[0.9504029750823975, 0.04959709569811821]]"
1392	avatar the last airbender season 3 episode 12	The Western Air Temple	the fire lord	No	"[[0.9481812715530396, 0.05181890353560448]]"
1393	where are alkali metals located on the periodic table	in the s-block | group 1	in the s-block	Yes	"[[0.008881986141204834, 0.9911180734634399], [0.9477530717849731, 0.052247028797864914]]"
1394	where are alkali metals located on the periodic table	in the s-block | group 1	group 1	Yes	"[[0.9516328573226929, 0.04836709052324295], [0.011976264417171478, 0.9880237579345703]]"
1395	where are alkali metals located on the periodic table	in the s-block | group 1	group	Yes	"[[0.9340717792510986, 0.06592823565006256], [0.11530657857656479, 0.8846933841705322]]"
1396	where are alkali metals located on the periodic table	in the s-block | group 1	Alkali metals are located in Group 1 of the periodic table.	Yes	"[[0.413239985704422, 0.5867600440979004], [0.013342033140361309, 0.986657977104187]]"
1397	where are alkali metals located on the periodic table	in the s-block | group 1	the s - block	Yes	"[[0.008992659859359264, 0.9910075068473816], [0.9500199556350708, 0.0499800443649292]]"
1398	where are alkali metals located on the periodic table	in the s-block | group 1	in s block	Yes	"[[0.00881755631417036, 0.9911823272705078], [0.9407387971878052, 0.0592612586915493]]"
1399	where are alkali metals located on the periodic table	in the s-block | group 1	s-block	Yes	"[[0.009211516939103603, 0.990788459777832], [0.9459025859832764, 0.05409732460975647]]"
1400	where does the light reaction of photosynthesis occur	on the thylakoid membranes	thylakoid membrane	Yes	"[[0.013831764459609985, 0.9861680865287781]]"
1401	where does the light reaction of photosynthesis occur	on the thylakoid membranes	on the thylakoid membranes	Yes	"[[0.009484500624239445, 0.9905154705047607]]"
1402	where does the light reaction of photosynthesis occur	on the thylakoid membranes	reaction centres	No	"[[0.9479990005493164, 0.052000992000103]]"
1403	where does the light reaction of photosynthesis occur	on the thylakoid membranes	The light reaction of photosynthesis occurs in the thylakoid membrane of the chloroplast.	Yes	"[[0.012019263580441475, 0.987980842590332]]"
1404	where does the light reaction of photosynthesis occur	on the thylakoid membranes	on thylakoid membranes	Yes	"[[0.009747011587023735, 0.9902529716491699]]"
1405	where does the light reaction of photosynthesis occur	on the thylakoid membranes	thylakoid membranes	Yes	"[[0.012041774578392506, 0.9879582524299622]]"
1406	most consecutive games with 20+ points - nba history	126	65 games by Wilt Chamberlain	No	"[[0.9461499452590942, 0.05385011062026024]]"
1407	most consecutive games with 20+ points - nba history	126	31	No	"[[0.939866840839386, 0.060133155435323715]]"
1408	most consecutive games with 20+ points - nba history	126	30	No	"[[0.9367623329162598, 0.06323762983083725]]"
1409	most consecutive games with 20+ points - nba history	126	"The record for most consecutive games with 20+ points in NBA history is held by Wilt Chamberlain, who scored 20 or more points in 126 consecutive games from 1964-1966."	Yes	"[[0.012383978813886642, 0.9876160025596619]]"
1410	most consecutive games with 20+ points - nba history	126	13	No	"[[0.9258090257644653, 0.0741909071803093]]"
1411	most consecutive games with 20+ points - nba history	126	64	No	"[[0.9421448111534119, 0.057855211198329926]]"
1412	most consecutive games with 20+ points - nba history	126	11	No	"[[0.9322423338890076, 0.06775771081447601]]"
1413	most consecutive games with 20+ points - nba history	126	14	No	"[[0.9192536473274231, 0.08074643462896347]]"
1414	how many pages are in the book inside out and back again	263	224 pages	No	"[[0.9329457879066467, 0.06705427914857864]]"
1415	how many pages are in the book inside out and back again	263	12	No	"[[0.9601585268974304, 0.03984139487147331]]"
1416	how many pages are in the book inside out and back again	263	879	No	"[[0.9580824971199036, 0.04191749915480614]]"
1417	how many pages are in the book inside out and back again	263	127	No	"[[0.9543480277061462, 0.0456518828868866]]"
1418	how many pages are in the book inside out and back again	263	96	No	"[[0.9574350118637085, 0.0425649993121624]]"
1419	how many pages are in the book inside out and back again	263	168	No	"[[0.9562705159187317, 0.04372945800423622]]"
1420	how many pages are in the book inside out and back again	263	312	No	"[[0.9566954374313354, 0.04330456256866455]]"
1421	how many pages are in the book inside out and back again	263	224 pages.	No	"[[0.9188594818115234, 0.08114039152860641]]"
1422	how many pages are in the book inside out and back again	263	320	No	"[[0.9378888607025146, 0.06211104616522789]]"
1423	how many pages are in the book inside out and back again	263	52	No	"[[0.9613857269287109, 0.038614239543676376]]"
1424	what is the cross on a letter t called	arm | crossbar	The cross on a letter t is called a crossbar.	Yes	"[[0.8672314286231995, 0.13276861608028412], [0.011304574087262154, 0.9886953830718994]]"
1425	what is the cross on a letter t called	arm | crossbar	saltire	No	"[[0.9571556448936462, 0.04284429922699928], [0.9568160772323608, 0.0431838221848011]]"
1426	what is the cross on a letter t called	arm | crossbar	crux commissa	No	"[[0.954255998134613, 0.04574403166770935], [0.9599722027778625, 0.040027882903814316]]"
1427	what is the cross on a letter t called	arm | crossbar	crux	No	"[[0.9551324844360352, 0.044867370277643204], [0.9592204093933105, 0.040779631584882736]]"
1428	what is the cross on a letter t called	arm | crossbar	tittle	No	"[[0.9430781006813049, 0.05692187696695328], [0.94756019115448, 0.052439816296100616]]"
1429	what is the cross on a letter t called	arm | crossbar	a saltire	No	"[[0.9550861716270447, 0.04491386562585831], [0.9528038501739502, 0.04719606041908264]]"
1430	what is the cross on a letter t called	arm | crossbar	tau cross	No	"[[0.9416919946670532, 0.05830800160765648], [0.8659014701843262, 0.1340985894203186]]"
1431	where does us highway 1 start and end	"Key West, Florida | Fort Kent, Maine | to Key West, Florida"	"US Highway 1 starts in Key West, Florida and ends in Fort Kent, Maine."	Yes	"[[0.01148288045078516, 0.9885172843933105], [0.012456622906029224, 0.9875434041023254], [0.01763629913330078, 0.9823637008666992]]"
1432	where does us highway 1 start and end	"Key West, Florida | Fort Kent, Maine | to Key West, Florida"	"Key West, Florida"	Yes	"[[0.010876077227294445, 0.9891240000724792], [0.965186357498169, 0.034813713282346725], [0.019872723147273064, 0.9801270961761475]]"
1433	where does us highway 1 start and end	"Key West, Florida | Fort Kent, Maine | to Key West, Florida"	key west florida	Yes	"[[0.015287083573639393, 0.9847130179405212], [0.9668499827384949, 0.03314998373389244], [0.055251553654670715, 0.9447485208511353]]"
1434	where does us highway 1 start and end	"Key West, Florida | Fort Kent, Maine | to Key West, Florida"	"Key West , Florida to Fort Kent , Maine"	Yes	"[[0.010094677098095417, 0.9899052977561951], [0.011517099104821682, 0.9884829521179199], [0.011913452297449112, 0.9880865812301636]]"
